None,seokinhong,attache_cache,,https://github.com/seokinhong/attache_cache.git,03/19/21 04:43 PM,0,0,0,4,840,74428,35492,0,151841
None,jgphpc,jub1,,https://github.com/jgphpc/jub1.git,03/19/21 04:43 PM,0,0,0,0,0,3024,717,0,3818
None,Remixman,Open_MPI_SDN,,https://github.com/Remixman/Open_MPI_SDN.git,03/19/21 04:43 PM,0,0,0,140,510619,34622,95536,18346,1054567
None,OPM,IFEM,,https://github.com/OPM/IFEM.git,03/19/21 04:43 PM,0,0,0,77,0,92081,34145,769,149060
None,CamCairns,atm_dycores_stirred,,https://github.com/CamCairns/atm_dycores_stirred.git,03/19/21 04:43 PM,0,0,0,140,840,0,5948,76587,127885
None,dmlc,mshadow,,https://github.com/dmlc/mshadow.git,03/19/21 04:43 PM,0,0,24,20,0,335,10161,0,14354
None,RadeonOpenCompute,ROCm_Documentation,,https://github.com/RadeonOpenCompute/ROCm_Documentation.git,03/19/21 04:43 PM,40,0,713,179,0,70849,30732,0,731114
None,wangdongxia,ALADMM,,https://github.com/wangdongxia/ALADMM.git,03/19/21 04:43 PM,0,0,0,0,0,1296,2835,0,4269
None,rabauke,mpl,,https://github.com/rabauke/mpl.git,03/19/21 04:43 PM,0,0,0,0,194,3739,5363,0,128317
None,quolc,VMDLeap,,https://github.com/quolc/VMDLeap.git,03/19/21 04:43 PM,30,0,50,0,6643,93872,15756,0,124105
None,Mantevo,miniMD,,https://github.com/Mantevo/miniMD.git,03/19/21 04:43 PM,0,0,0,216,371,14468,2657,0,18526
None,bvanessen,lbann_distconv,,https://github.com/bvanessen/lbann_distconv.git,03/19/21 04:43 PM,0,0,259,19,0,38917,24280,0,92175
None,anandhis,rml-ofi,,https://github.com/anandhis/rml-ofi.git,03/19/21 04:43 PM,0,0,0,0,569828,779,101366,18556,768514
None,Rednickle,redttorch,,https://github.com/Rednickle/redttorch.git,03/19/21 04:43 PM,2,0,1693,107,33467,361844,191676,0,977105
None,wdlctc,horovod_SYS,,https://github.com/wdlctc/horovod_SYS.git,03/19/21 04:43 PM,0,0,0,0,0,7625,3162,0,22876
None,MichaelAHood,pk-mxnet,,https://github.com/MichaelAHood/pk-mxnet.git,03/19/21 04:43 PM,0,0,1263,38,181,29402,56566,0,259144
None,monil01,mapmc,,https://github.com/monil01/mapmc.git,03/19/21 04:43 PM,10,1986,140,887,110156,29905,14735,0,384372
None,LLNL,RAJAProxies,,https://github.com/LLNL/RAJAProxies.git,03/19/21 04:43 PM,0,0,5,91,0,15902,3438,0,21425
None,NervanaSystems,ngraph,,https://github.com/NervanaSystems/ngraph.git,03/19/21 04:43 PM,0,0,47,3,0,204041,46707,0,572014
None,kwangiit,SLURMPP_V2,,https://github.com/kwangiit/SLURMPP_V2.git,03/19/21 04:43 PM,0,0,0,0,350202,9779,29261,0,592500
None,GPrathap,FastICA_in_Cplusplus,,https://github.com/GPrathap/FastICA_in_Cplusplus.git,03/19/21 04:43 PM,0,0,0,2,45,31038,73694,26495,138051
None,open-mpi,mpi-test-suite,,https://github.com/open-mpi/mpi-test-suite.git,03/19/21 04:43 PM,0,0,0,0,13829,0,874,0,15297
None,northgaard,LBM-TopOpt,,https://github.com/northgaard/LBM-TopOpt.git,03/19/21 04:43 PM,0,0,0,0,1157,35320,11627,0,48387
None,pmontman,customxgboost,,https://github.com/pmontman/customxgboost.git,03/19/21 04:43 PM,0,0,1,77,83,11807,11665,0,29807
None,MultiTrickFox,Pytorch-0.4-_custom,,https://github.com/MultiTrickFox/Pytorch-0.4-_custom.git,03/19/21 04:43 PM,30,0,1748,191,54250,285611,377952,1528,1056895
None,kwangiit,SLURMPP,,https://github.com/kwangiit/SLURMPP.git,03/19/21 04:43 PM,0,0,0,0,344615,3216,24351,0,435785
None,tianzhi0549,pytorch_tf_upsampling,,https://github.com/tianzhi0549/pytorch_tf_upsampling.git,03/19/21 04:43 PM,1,0,1739,183,31355,130552,98669,1528,503339
None,CynthiaProtector,SketchDLC,,https://github.com/CynthiaProtector/SketchDLC.git,03/19/21 04:43 PM,2,0,1378,2294,14819,137725,125597,4593,538795
None,sunshineInmoon,Mxnet-windows,,https://github.com/sunshineInmoon/Mxnet-windows.git,03/19/21 04:43 PM,0,0,4542,12,0,15266,93900,0,181607
None,Collegeville,HPCG-ZFP,,https://github.com/Collegeville/HPCG-ZFP.git,03/19/21 04:43 PM,0,0,0,22,0,2349,552,0,4554
None,STEllAR-GROUP,hpx_historic,,https://github.com/STEllAR-GROUP/hpx_historic.git,03/19/21 04:43 PM,1,0,0,32,6874,58558,44416,34691,149649
None,jedbrown,pami,,https://github.com/jedbrown/pami.git,03/19/21 04:43 PM,4,0,0,0,42437,24138,142282,0,215815
None,SuryaGrandhi,neww,,https://github.com/SuryaGrandhi/neww.git,03/19/21 04:43 PM,40,0,545,179,0,51265,13229,0,647392
None,gfranxman,xgboost_080_amzn1,,https://github.com/gfranxman/xgboost_080_amzn1.git,03/19/21 04:43 PM,0,0,42,104,0,18505,19313,0,52785
None,davidov541,MiniC,,https://github.com/davidov541/MiniC.git,03/19/21 04:43 PM,3,0,1,0,330,13741,845757,0,865867
None,leeping,gmx-qchem,,https://github.com/leeping/gmx-qchem.git,03/19/21 04:43 PM,3,0,76,108,1129993,43478,76539,1467,1299906
None,laomao0,DVF_pytorch,,https://github.com/laomao0/DVF_pytorch.git,03/19/21 04:43 PM,0,0,10,0,89,0,36,0,2065
None,NikitaCartes,spbstu-2020,,https://github.com/NikitaCartes/spbstu-2020.git,03/19/21 04:43 PM,0,0,0,16,0,522,48,0,756
None,AMDComputeLibraries,ComputeApps,,https://github.com/AMDComputeLibraries/ComputeApps.git,03/19/21 04:43 PM,353,0,0,40,22431,10593,4168,0,45158
None,SuryaGrandhi,doc_july_24,,https://github.com/SuryaGrandhi/doc_july_24.git,03/19/21 04:43 PM,40,0,545,179,0,51265,13229,0,648139
None,AlumiK,libnkmpi,,https://github.com/AlumiK/libnkmpi.git,03/19/21 04:43 PM,0,0,0,0,0,211,44,0,451
None,ChingYaoTang,enzo-dev-DT,,https://github.com/ChingYaoTang/enzo-dev-DT.git,03/19/21 04:43 PM,0,0,102,30,8319,175941,12028,49429,274586
None,Vazzz007,invert-reflection_MPI,,https://github.com/Vazzz007/invert-reflection_MPI.git,03/19/21 04:43 PM,0,0,0,0,0,741,44,0,820
None,jinfagang,Shadowless,,https://github.com/jinfagang/Shadowless.git,03/19/21 04:43 PM,1,0,1374,65,205,79843,87515,0,426566
None,nalzok,xgboost-py,,https://github.com/nalzok/xgboost-py.git,03/19/21 04:43 PM,0,0,49,100,0,20155,19933,0,58570
None,Nigoding,tensor,,https://github.com/Nigoding/tensor.git,03/19/21 04:43 PM,2,0,1822,171,14591,199882,132248,0,638491
None,pzw520125,rdc,,https://github.com/pzw520125/rdc.git,03/19/21 04:43 PM,0,0,0,0,0,5933,5126,0,12577
None,chenlongzhen,xgboost-yarn,,https://github.com/chenlongzhen/xgboost-yarn.git,03/19/21 04:43 PM,0,0,1304,90,82,13061,9871,1528,92771
None,faasm,faasm,,https://github.com/faasm/faasm.git,03/19/21 04:43 PM,0,0,0,99,420,21379,2001,0,30245
None,jeffhammond,pami-examples,,https://github.com/jeffhammond/pami-examples.git,03/19/21 04:43 PM,0,0,0,0,2739,0,56,0,2877
None,easydush,parallel_computing,,https://github.com/easydush/parallel_computing.git,03/19/21 04:43 PM,0,0,0,31,0,1941,0,0,1952
None,duffell,Disco,,https://github.com/duffell/Disco.git,03/19/21 04:43 PM,0,0,0,0,8371,0,157,0,8658
None,laristra,flecsph,,https://github.com/laristra/flecsph.git,03/19/21 04:43 PM,0,0,0,6,0,4537,12208,0,21855
None,rashmi25-04,HPSC-MPI-Programming,,https://github.com/rashmi25-04/HPSC-MPI-Programming.git,03/19/21 04:43 PM,0,0,0,0,2994,0,47,0,3131
None,sebimag,algoRepartie,,https://github.com/sebimag/algoRepartie.git,03/19/21 04:43 PM,0,0,12,0,243,0,141287,0,156022
None,devyaniB,simgrid,,https://github.com/devyaniB/simgrid.git,03/19/21 04:43 PM,0,0,0,0,88309,75351,36098,11184,252958
None,hust-wuwechao,mxnetv2,,https://github.com/hust-wuwechao/mxnetv2.git,03/19/21 04:43 PM,1,0,216,107,205,100931,91801,0,436760
None,TorchCraft,TorchCraftAI,,https://github.com/TorchCraft/TorchCraftAI.git,03/19/21 04:43 PM,0,0,0,0,0,72163,35844,0,134729
None,deniskin82,chapel,,https://github.com/deniskin82/chapel.git,03/19/21 04:43 PM,0,0,19,63,243367,99484,90735,24,847272
None,jjdblast,pytorch-dockerfiles,,https://github.com/jjdblast/pytorch-dockerfiles.git,03/19/21 04:43 PM,2,0,1640,105,32108,327229,176771,0,885091
None,cwxcode,xgboost,,https://github.com/cwxcode/xgboost.git,03/19/21 04:43 PM,0,0,0,84,31,4426,11163,0,25830
None,GeekLiB,caffe2-master,,https://github.com/GeekLiB/caffe2-master.git,03/19/21 04:43 PM,0,0,181,0,0,33068,26014,0,117061
None,AMDComputeLibraries,OpenMPApps,,https://github.com/AMDComputeLibraries/OpenMPApps.git,03/19/21 04:43 PM,0,0,0,218,12169,7014,1644,0,24236
